uf,escolaridade,rec_pensao,qtd,categoria
MG,Fundamental incompleto,sim,15846,Instrução parcial
RS,Fundamental incompleto,sim,12229,Instrução parcial
SC,Fundamental incompleto,sim,11224,Instrução parcial
SP,Fundamental incompleto,sim,10984,Instrução parcial
RJ,Medio completo,sim,9245,Com instrução
SP,Medio completo,sim,8672,Com instrução
RJ,Fundamental incompleto,sim,8282,Instrução parcial
PR,Fundamental incompleto,sim,7774,Instrução parcial
MA,Fundamental incompleto,sim,7665,Instrução parcial
MG,Medio completo,sim,7342,Com instrução
CE,Fundamental incompleto,sim,6729,Instrução parcial
BA,Fundamental incompleto,sim,6445,Instrução parcial
SP,Superior completo,sim,5960,Com instrução
SC,Medio completo,sim,5796,Com instrução
ES,Fundamental incompleto,sim,5755,Instrução parcial
PE,Fundamental incompleto,sim,5562,Instrução parcial
RS,Medio completo,sim,5558,Com instrução
RJ,Superior completo,sim,5558,Com instrução
AL,Fundamental incompleto,sim,4624,Instrução parcial
GO,Fundamental incompleto,sim,4583,Instrução parcial
PR,Medio completo,sim,4323,Com instrução
SP,Fundamental completa,sim,4114,Instrução parcial
RJ,Fundamental completa,sim,3930,Instrução parcial
MG,Sem instrucao,sim,3917,Sem instrução
PB,Fundamental incompleto,sim,3843,Instrução parcial
SC,Fundamental completa,sim,3790,Instrução parcial
MA,Sem instrucao,sim,3787,Sem instrução
MG,Superior completo,sim,3661,Com instrução
PA,Fundamental incompleto,sim,3656,Instrução parcial
CE,Sem instrucao,sim,3644,Sem instrução
RN,Fundamental incompleto,sim,3528,Instrução parcial
MT,Fundamental incompleto,sim,3485,Instrução parcial
MA,Medio completo,sim,3397,Com instrução
MG,Fundamental completa,sim,3326,Instrução parcial
PI,Fundamental incompleto,sim,3195,Instrução parcial
CE,Medio completo,sim,3094,Com instrução
ES,Medio completo,sim,3086,Com instrução
BA,Medio completo,sim,3081,Com instrução
BA,Sem instrucao,sim,3072,Sem instrução
PE,Medio completo,sim,3039,Com instrução
SC,Superior completo,sim,2892,Com instrução
RS,Superior completo,sim,2850,Com instrução
SE,Fundamental incompleto,sim,2788,Instrução parcial
MG,Medio incompleto,sim,2701,Instrução parcial
MS,Fundamental incompleto,sim,2688,Instrução parcial
RS,Fundamental completa,sim,2684,Instrução parcial
PR,Superior completo,sim,2573,Com instrução
SP,Sem instrucao,sim,2498,Sem instrução
GO,Medio completo,sim,2463,Com instrução
AM,Fundamental incompleto,sim,2329,Instrução parcial
RO,Fundamental incompleto,sim,2264,Instrução parcial
SP,Medio incompleto,sim,2256,Instrução parcial
RJ,Superior incompleto,sim,2253,Com instrução
PE,Sem instrucao,sim,2179,Sem instrução
AL,Sem instrucao,sim,2133,Sem instrução
PR,Fundamental completa,sim,2106,Instrução parcial
RJ,Medio incompleto,sim,2059,Instrução parcial
AL,Medio completo,sim,2029,Com instrução
RS,Medio incompleto,sim,2017,Instrução parcial
PI,Sem instrucao,sim,2011,Sem instrução
RS,Superior incompleto,sim,1944,Com instrução
PR,Sem instrucao,sim,1919,Sem instrução
AM,Medio completo,sim,1915,Com instrução
SC,Medio incompleto,sim,1895,Instrução parcial
SP,Superior incompleto,sim,1870,Com instrução
AC,Fundamental incompleto,sim,1851,Instrução parcial
RN,Medio completo,sim,1808,Com instrução
RJ,Sem instrucao,sim,1796,Sem instrução
TO,Fundamental incompleto,sim,1765,Instrução parcial
PB,Medio completo,sim,1714,Com instrução
MT,Medio completo,sim,1710,Com instrução
PA,Medio completo,sim,1707,Com instrução
PB,Sem instrucao,sim,1702,Sem instrução
MA,Medio incompleto,sim,1634,Instrução parcial
SC,Superior incompleto,sim,1600,Com instrução
PI,Medio completo,sim,1570,Com instrução
RS,Sem instrucao,sim,1546,Sem instrução
SC,Sem instrucao,sim,1540,Sem instrução
PE,Superior completo,sim,1531,Com instrução
SE,Sem instrucao,sim,1480,Sem instrução
MG,Superior incompleto,sim,1477,Com instrução
PR,Medio incompleto,sim,1474,Instrução parcial
ES,Sem instrucao,sim,1474,Sem instrução
DF,Superior completo,sim,1472,Com instrução
DF,Medio completo,sim,1454,Com instrução
ES,Superior completo,sim,1407,Com instrução
CE,Superior completo,sim,1366,Com instrução
MS,Medio completo,sim,1359,Com instrução
RN,Sem instrucao,sim,1350,Sem instrução
BA,Medio incompleto,sim,1318,Instrução parcial
GO,Sem instrucao,sim,1307,Sem instrução
CE,Medio incompleto,sim,1288,Instrução parcial
GO,Superior completo,sim,1274,Com instrução
SE,Medio completo,sim,1270,Com instrução
MT,Sem instrucao,sim,1262,Sem instrução
AC,Medio completo,sim,1215,Com instrução
RJ,Pos graduacao mestrado ou doutorado,sim,1204,Com instrução
DF,Fundamental incompleto,sim,1179,Instrução parcial
ES,Fundamental completa,sim,1160,Instrução parcial
CE,Fundamental completa,sim,1082,Instrução parcial
RR,Fundamental incompleto,sim,1076,Instrução parcial
PE,Medio incompleto,sim,1059,Instrução parcial
BA,Superior completo,sim,1033,Com instrução
MA,Fundamental completa,sim,1012,Instrução parcial
PB,Superior completo,sim,1008,Com instrução
SP,Pos graduacao mestrado ou doutorado,sim,970,Com instrução
PR,Superior incompleto,sim,967,Com instrução
BA,Fundamental completa,sim,950,Instrução parcial
PA,Sem instrucao,sim,949,Sem instrução
PE,Fundamental completa,sim,949,Instrução parcial
MT,Superior completo,sim,948,Com instrução
MA,Superior completo,sim,922,Com instrução
ES,Medio incompleto,sim,914,Instrução parcial
RR,Medio completo,sim,911,Com instrução
GO,Medio incompleto,sim,901,Instrução parcial
AL,Medio incompleto,sim,901,Instrução parcial
MS,Superior completo,sim,883,Com instrução
AM,Sem instrucao,sim,862,Sem instrução
MS,Sem instrucao,sim,858,Sem instrução
SC,Pos graduacao mestrado ou doutorado,sim,852,Com instrução
AC,Sem instrucao,sim,851,Sem instrução
RS,Pos graduacao mestrado ou doutorado,sim,833,Com instrução
MG,Pos graduacao mestrado ou doutorado,sim,829,Com instrução
AL,Superior completo,sim,819,Com instrução
TO,Sem instrucao,sim,816,Sem instrução
GO,Fundamental completa,sim,795,Instrução parcial
PA,Superior completo,sim,777,Com instrução
RO,Medio completo,sim,775,Com instrução
RN,Superior completo,sim,775,Com instrução
AM,Superior completo,sim,771,Com instrução
MT,Medio incompleto,sim,765,Instrução parcial
PI,Superior completo,sim,762,Com instrução
RN,Medio incompleto,sim,761,Instrução parcial
TO,Medio completo,sim,754,Com instrução
PB,Medio incompleto,sim,751,Instrução parcial
PA,Medio incompleto,sim,717,Instrução parcial
CE,Superior incompleto,sim,715,Com instrução
AM,Medio incompleto,sim,691,Instrução parcial
RO,Sem instrucao,sim,684,Sem instrução
PB,Fundamental completa,sim,678,Instrução parcial
MT,Fundamental completa,sim,676,Instrução parcial
ES,Superior incompleto,sim,658,Com instrução
PR,Pos graduacao mestrado ou doutorado,sim,651,Com instrução
MS,Fundamental completa,sim,650,Instrução parcial
PI,Medio incompleto,sim,638,Instrução parcial
PA,Fundamental completa,sim,633,Instrução parcial
AL,Fundamental completa,sim,630,Instrução parcial
SE,Superior completo,sim,627,Com instrução
PE,Superior incompleto,sim,625,Com instrução
MS,Medio incompleto,sim,604,Instrução parcial
AC,Superior completo,sim,591,Com instrução
RN,Fundamental completa,sim,549,Instrução parcial
PI,Fundamental completa,sim,542,Instrução parcial
GO,Superior incompleto,sim,541,Com instrução
AC,Medio incompleto,sim,532,Instrução parcial
BA,Superior incompleto,sim,521,Com instrução
ES,Pos graduacao mestrado ou doutorado,sim,510,Com instrução
MA,Superior incompleto,sim,508,Com instrução
AP,Medio completo,sim,488,Com instrução
AP,Fundamental incompleto,sim,478,Instrução parcial
DF,Superior incompleto,sim,477,Com instrução
RR,Sem instrucao,sim,464,Sem instrução
MS,Superior incompleto,sim,454,Com instrução
PE,Pos graduacao mestrado ou doutorado,sim,452,Com instrução
AM,Fundamental completa,sim,451,Instrução parcial
AL,Superior incompleto,sim,448,Com instrução
DF,Fundamental completa,sim,447,Instrução parcial
DF,Sem instrucao,sim,446,Sem instrução
CE,Pos graduacao mestrado ou doutorado,sim,444,Com instrução
SE,Medio incompleto,sim,428,Instrução parcial
AC,Fundamental completa,sim,414,Instrução parcial
RO,Medio incompleto,sim,400,Instrução parcial
PB,Superior incompleto,sim,394,Com instrução
TO,Medio incompleto,sim,394,Instrução parcial
AM,Superior incompleto,sim,387,Com instrução
TO,Superior completo,sim,382,Com instrução
MT,Superior incompleto,sim,376,Com instrução
DF,Medio incompleto,sim,375,Instrução parcial
RN,Superior incompleto,sim,366,Com instrução
GO,Pos graduacao mestrado ou doutorado,sim,361,Com instrução
RR,Medio incompleto,sim,358,Instrução parcial
DF,Pos graduacao mestrado ou doutorado,sim,357,Com instrução
SE,Superior incompleto,sim,354,Com instrução
PI,Superior incompleto,sim,347,Com instrução
TO,Fundamental completa,sim,336,Instrução parcial
RO,Fundamental completa,sim,332,Instrução parcial
PA,Superior incompleto,sim,318,Com instrução
RR,Superior completo,sim,313,Com instrução
MS,Pos graduacao mestrado ou doutorado,sim,306,Com instrução
SE,Fundamental completa,sim,300,Instrução parcial
RO,Superior completo,sim,295,Com instrução
AC,Superior incompleto,sim,280,Com instrução
MA,Pos graduacao mestrado ou doutorado,sim,245,Com instrução
BA,Pos graduacao mestrado ou doutorado,sim,221,Com instrução
AP,Superior completo,sim,220,Com instrução
AP,Sem instrucao,sim,207,Sem instrução
AL,Pos graduacao mestrado ou doutorado,sim,206,Com instrução
TO,Superior incompleto,sim,195,Com instrução
RO,Superior incompleto,sim,192,Com instrução
RN,Pos graduacao mestrado ou doutorado,sim,188,Com instrução
AC,Pos graduacao mestrado ou doutorado,sim,181,Com instrução
RR,Superior incompleto,sim,169,Com instrução
AM,Pos graduacao mestrado ou doutorado,sim,166,Com instrução
MT,Pos graduacao mestrado ou doutorado,sim,166,Com instrução
RR,Fundamental completa,sim,163,Instrução parcial
AP,Medio incompleto,sim,157,Instrução parcial
PB,Pos graduacao mestrado ou doutorado,sim,156,Com instrução
PI,Pos graduacao mestrado ou doutorado,sim,150,Com instrução
AP,Superior incompleto,sim,145,Com instrução
AP,Fundamental completa,sim,132,Instrução parcial
TO,Pos graduacao mestrado ou doutorado,sim,125,Com instrução
SE,Pos graduacao mestrado ou doutorado,sim,124,Com instrução
PA,Pos graduacao mestrado ou doutorado,sim,123,Com instrução
RO,Pos graduacao mestrado ou doutorado,sim,76,Com instrução
RR,Pos graduacao mestrado ou doutorado,sim,63,Com instrução
AP,Pos graduacao mestrado ou doutorado,sim,57,Com instrução
